"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2021","23.23","23.61","23.66","23.22","10.95M","-2.02%"
"Jun 10, 2021","23.71","23.02","23.73","22.92","13.13M","3.04%"
"Jun 09, 2021","23.01","23.09","23.32","23.01","10.45M","-0.48%"
"Jun 08, 2021","23.12","23.35","23.51","23.12","10.68M","-1.24%"
"Jun 07, 2021","23.41","23.32","23.49","23.17","10.96M","-0.21%"
"Jun 04, 2021","23.46","23.32","23.68","23.25","13.42M","1.08%"
"Jun 03, 2021","23.21","23.58","23.58","23.14","21.16M","-3.97%"
"Jun 02, 2021","24.17","24.28","24.37","24.14","9.51M","-0.37%"
"Jun 01, 2021","24.26","24.13","24.30","23.79","17.46M","0.75%"
"May 28, 2021","24.08","23.55","24.15","23.48","20.38M","0.92%"
"May 27, 2021","23.86","24.41","24.42","23.73","20.62M","-2.93%"
"May 26, 2021","24.58","24.74","24.93","24.50","15.21M","0.00%"
"May 25, 2021","24.58","24.66","24.70","24.23","19.30M","-0.41%"
"May 24, 2021","24.68","24.77","24.89","24.55","9.15M","-0.08%"
"May 21, 2021","24.70","25.00","25.05","24.49","14.49M","-0.44%"
"May 20, 2021","24.81","24.56","25.00","24.46","13.66M","0.89%"
"May 19, 2021","24.59","24.86","25.37","24.42","23.45M","-2.07%"
"May 18, 2021","25.11","25.20","25.22","24.61","19.03M","-0.63%"
"May 17, 2021","25.27","24.26","25.28","24.00","30.19M","5.20%"
"May 14, 2021","24.02","23.82","24.08","23.70","9.89M","1.87%"
"May 13, 2021","23.58","23.38","23.72","23.14","11.59M","0.21%"
"May 12, 2021","23.53","23.95","24.18","23.43","14.19M","-1.75%"
"May 11, 2021","23.95","23.48","24.03","23.39","13.90M","0.08%"
"May 10, 2021","23.93","24.25","24.44","23.92","19.52M","0.04%"
"May 07, 2021","23.92","23.96","24.16","23.59","24.23M","1.57%"
"May 06, 2021","23.55","22.64","23.59","22.59","34.50M","5.84%"
"May 05, 2021","22.25","22.29","22.29","22.03","8.16M","1.09%"
"May 04, 2021","22.01","22.12","22.55","21.76","16.85M","-0.99%"
"May 03, 2021","22.23","21.58","22.33","21.52","17.42M","4.61%"
"Apr 30, 2021","21.25","21.28","21.52","21.15","13.66M","-0.47%"
"Apr 29, 2021","21.35","21.70","21.74","21.11","20.90M","-1.88%"
"Apr 28, 2021","21.76","21.50","21.91","21.32","17.07M","0.55%"
"Apr 27, 2021","21.64","22.11","22.13","21.60","15.74M","-2.35%"
"Apr 26, 2021","22.16","22.22","22.30","22.02","8.94M","-0.23%"
"Apr 23, 2021","22.21","22.56","22.63","22.15","11.60M","-0.89%"
"Apr 22, 2021","22.41","22.54","22.56","22.23","13.61M","-1.45%"
"Apr 21, 2021","22.74","22.48","22.86","22.43","13.42M","1.52%"
"Apr 20, 2021","22.40","22.03","22.45","21.99","15.56M","1.31%"
"Apr 19, 2021","22.11","22.28","22.40","22.02","13.80M","-0.54%"
"Apr 16, 2021","22.23","22.38","22.43","22.02","22.40M","1.14%"
"Apr 15, 2021","21.98","21.39","22.20","21.35","22.78M","4.12%"
"Apr 14, 2021","21.11","21.13","21.24","21.01","13.97M","0.05%"
"Apr 13, 2021","21.10","21.18","21.47","20.98","21.07M","0.52%"
"Apr 12, 2021","20.99","21.09","21.16","20.86","15.85M","-1.04%"
"Apr 09, 2021","21.21","21.00","21.27","20.89","14.05M","0.24%"
"Apr 08, 2021","21.16","20.97","21.16","20.89","19.20M","2.37%"
"Apr 07, 2021","20.67","20.91","20.95","20.59","12.96M","-1.01%"
"Apr 06, 2021","20.88","20.90","21.14","20.69","18.43M","1.21%"
"Apr 05, 2021","20.63","20.83","20.89","20.35","19.22M","1.28%"
"Apr 01, 2021","20.37","20.10","20.41","19.94","13.04M","2.88%"
"Mar 31, 2021","19.80","19.59","20.07","19.49","14.16M","1.49%"
"Mar 30, 2021","19.51","19.67","19.74","19.44","14.90M","-3.22%"
"Mar 29, 2021","20.16","19.94","20.20","19.57","17.53M","0.80%"
"Mar 26, 2021","20.00","19.61","20.00","19.61","20.96M","1.37%"
"Mar 25, 2021","19.73","20.05","20.08","19.51","23.09M","-2.13%"
"Mar 24, 2021","20.16","20.23","20.27","19.97","16.84M","-0.40%"
