"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 14, 2021","1,866.45","1,875.60","1,875.85","1,865.25","-","-0.49%"
"Jun 13, 2021","1,875.55","1,879.35","1,879.75","1,875.25","-","-0.22%"
"Jun 11, 2021","1,879.60","1,901.90","1,906.20","1,876.10","-","-0.89%"
"Jun 10, 2021","1,896.40","1,891.40","1,903.00","1,871.80","250.55K","0.05%"
"Jun 09, 2021","1,895.50","1,894.40","1,901.70","1,889.30","147.33K","0.06%"
"Jun 08, 2021","1,894.40","1,901.60","1,906.90","1,885.70","173.60K","-0.23%"
"Jun 07, 2021","1,898.80","1,894.30","1,902.90","1,883.70","146.02K","0.36%"
"Jun 04, 2021","1,892.00","1,872.70","1,899.00","1,855.60","228.83K","1.00%"
"Jun 03, 2021","1,873.30","1,910.50","1,912.30","1,866.70","278.58K","-1.92%"
"Jun 02, 2021","1,909.90","1,903.00","1,911.80","1,896.40","166.04K","0.26%"
"Jun 01, 2021","1,905.00","1,906.80","1,919.20","1,894.50","290.65K","-0.32%"
"May 31, 2021","1,911.15","1,906.80","1,913.40","1,904.85","-","0.23%"
"May 30, 2021","1,906.75","1,907.60","1,907.90","1,906.10","-","0.08%"
"May 28, 2021","1,905.30","1,899.80","1,908.80","1,884.30","198.14K","0.36%"
"May 27, 2021","1,898.50","1,899.30","1,906.50","1,890.80","211.79K","-0.28%"
"May 26, 2021","1,903.80","1,902.40","1,915.60","1,893.00","178.18K","0.17%"
"May 25, 2021","1,900.50","1,883.40","1,903.70","1,875.40","176.60K","0.73%"
"May 24, 2021","1,886.70","1,885.60","1,890.00","1,877.90","55.84K","0.42%"
"May 21, 2021","1,878.90","1,880.40","1,892.30","1,872.50","53.04K","-0.27%"
"May 20, 2021","1,883.90","1,872.20","1,887.20","1,866.20","44.91K","0.03%"
"May 19, 2021","1,883.40","1,872.20","1,893.20","1,854.40","58.81K","0.71%"
"May 18, 2021","1,870.10","1,869.10","1,877.80","1,865.60","49.55K","0.03%"
"May 17, 2021","1,869.60","1,843.50","1,871.10","1,843.10","42.11K","1.61%"
"May 14, 2021","1,840.00","1,829.30","1,849.00","1,821.30","24.14K","0.76%"
"May 13, 2021","1,826.10","1,816.60","1,830.90","1,810.70","41.80K","0.07%"
"May 12, 2021","1,824.80","1,840.20","1,846.50","1,815.00","55.16K","-0.72%"
"May 11, 2021","1,838.10","1,837.60","1,844.30","1,819.80","71.63K","-0.09%"
"May 10, 2021","1,839.80","1,836.10","1,848.40","1,832.80","64.97K","0.34%"
"May 07, 2021","1,833.50","1,817.30","1,846.50","1,815.70","26.44K","0.86%"
"May 06, 2021","1,817.90","1,789.00","1,820.50","1,784.10","23.09K","1.76%"
"May 05, 2021","1,786.50","1,780.90","1,790.20","1,771.50","20.46K","0.47%"
"May 04, 2021","1,778.20","1,795.10","1,801.60","1,771.60","9.94K","-0.88%"
"May 03, 2021","1,794.00","1,770.40","1,800.80","1,768.50","7.92K","1.37%"
"Apr 30, 2021","1,769.80","1,773.90","1,775.00","1,765.60","17.31K","-0.04%"
"Apr 29, 2021","1,770.50","1,784.20","1,791.50","1,756.80","8.69K","-0.32%"
"Apr 28, 2021","1,776.10","1,777.30","1,784.70","1,763.90","5.98K","-0.28%"
"Apr 27, 2021","1,781.00","1,783.20","1,787.80","1,776.60","7.80K","-0.07%"
"Apr 26, 2021","1,782.30","1,776.00","1,784.90","1,770.80","3.72K","0.13%"
"Apr 23, 2021","1,779.90","1,786.30","1,798.20","1,771.70","5.12K","-0.23%"
"Apr 22, 2021","1,784.00","1,797.00","1,800.00","1,779.30","2.13K","-0.62%"
"Apr 21, 2021","1,795.20","1,780.60","1,800.00","1,779.00","3.26K","0.83%"
"Apr 20, 2021","1,780.40","1,772.70","1,782.60","1,765.80","1.91K","0.43%"
"Apr 19, 2021","1,772.70","1,780.10","1,791.70","1,768.60","1.87K","-0.53%"
"Apr 16, 2021","1,782.20","1,766.20","1,786.20","1,763.70","2.57K","0.76%"
"Apr 15, 2021","1,768.80","1,738.80","1,772.40","1,736.80","3.88K","1.76%"
"Apr 14, 2021","1,738.20","1,748.40","1,752.50","1,734.70","2.79K","-0.65%"
"Apr 13, 2021","1,749.50","1,734.70","1,751.20","1,725.50","4.27K","0.86%"
"Apr 12, 2021","1,734.60","1,745.20","1,748.00","1,729.60","3.63K","-0.70%"
"Apr 09, 2021","1,746.80","1,757.30","1,759.00","1,732.90","4.02K","-0.77%"
"Apr 08, 2021","1,760.30","1,739.50","1,761.20","1,735.80","4.00K","0.96%"
"Apr 07, 2021","1,743.60","1,746.60","1,747.20","1,734.00","1.72K","-0.08%"
"Apr 06, 2021","1,745.00","1,731.80","1,748.30","1,730.70","3.87K","0.83%"
"Apr 05, 2021","1,730.70","1,732.10","1,735.90","1,723.60","1.37K","0.02%"
"Apr 01, 2021","1,730.30","1,711.40","1,733.20","1,708.80","2.20K","0.75%"
"Mar 31, 2021","1,717.50","1,687.30","1,718.10","1,679.40","2.71K","1.75%"
