date,name,share
2020-02-27,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,0.99924466
2020-02-27,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.61935827
2020-02-27,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.0878371
2020-02-27,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.66862288
2020-02-27,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,151.7266732
2020-02-27,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.5375275
2020-02-27,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.36269662
2020-02-27,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.24002251
2020-02-27,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.19033159
2020-02-27,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,0.9998436
2020-02-28,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,0.999273803
2020-02-28,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.61852868
2020-02-28,MURANO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.094569
2020-02-28,VISIA ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO,3.66586583
2020-02-28,RIO BRAVO PANDAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,151.6428791
2020-02-28,PANDHORA FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.5408915
2020-02-28,CANVAS VECTOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.34665913
2020-02-28,CONSTÂNCIA ABSOLUTO FUNDO DE INVESTIMENTO MULTIMERCADO,1.24174974
2020-02-28,CLARITAS QUANT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1.18935533
2020-02-28,MAUA CAPITAL MACHINE-D FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,1.0074143
2020-03-02,DAEMON SYSTEMATIC TRADING FUNDO DE INVESTIMENTO MULTIMERCADO,0.999308954
2020-03-02,KADIMA II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,3.6474798
